# RDB data retrieved from Oracle.
#
# $Log$
# tsql nwisor -rdb 'select * from gw_otid_01  order by site_no' |# 02/19/2019 21:01:29, llorzol
#
agency_cd	site_no	otid_seq_nu	otid_id	assigner_nm	otid_web_cd	otid_cn	otid_cr	otid_mn	otid_md
5s	15s	9n	15s	15s	1s	8s	25d	8s	25d
USGS	445419123020101	1	47900566	RASA	Y	tiffany	02-APR-2002 17:08:20	tiffany	02-APR-2002 17:08:20
USGS	445420122565101	1	47900434	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-OCT-1991 00:00:00
USGS	445420123094001	1	WELL #5 (SETNIC	OWNER	L	tiffany	16-OCT-2012 20:42:37	tiffany	16-OCT-2012 20:42:37
USGS	445420123094002	1	WELL #6 (WALKER	OWNER	L	tiffany	16-OCT-2012 20:42:37	tiffany	16-OCT-2012 20:42:37
USGS	445420123094003	1	WELL #3 (BERLIN	OWNER	L	tiffany	16-OCT-2012 20:42:37	tiffany	16-OCT-2012 20:42:37
USGS	445422123113401	1	53000118	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	12-APR-1991 00:00:00
USGS	445422123224301	1	53000150	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	12-APR-1991 00:00:00
USGS	445423123222301	1	53000149	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	12-APR-1991 00:00:00
USGS	445426123104301	1	53000220	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445430123093001	1	WELL #2	OWNER	L	tiffany	16-OCT-2012 20:42:37	tiffany	16-OCT-2012 20:42:37
USGS	445435123092001	1	53000218	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445436123134301	1	53000017	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445436123134801	1	53000121	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	12-APR-1991 00:00:00
USGS	445437123092901	1	53000117	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	12-APR-1991 00:00:00
USGS	445437123093001	1	OWRD OBS 774	OR004	Y	tiffany	19-FEB-2003 21:47:52	tiffany	19-FEB-2003 21:47:52
USGS	445437123093001	2	53000016	USGS	Y	tiffany	19-FEB-2003 21:47:52	tiffany	19-FEB-2003 21:47:52
USGS	445442123085701	1	53000014	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445446123085601	1	53900002	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	09-OCT-1992 00:00:00
USGS	445446123092101	1	53000215	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445446123100701	1	53000097	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	12-APR-1991 00:00:00
USGS	445448123101501	1	53000214	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445450117560001	1	WELL #3	OWNER	L	tiffany	16-OCT-2012 20:42:37	tiffany	16-OCT-2012 20:42:37
USGS	445450123101501	1	53000096	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	12-APR-1991 00:00:00
USGS	445450123221801	1	53000114	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	12-APR-1991 00:00:00
USGS	445453123221901	1	53000113	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	12-APR-1991 00:00:00
USGS	445500123090601	1	53000216	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445500123214801	1	53000115	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	12-APR-1991 00:00:00
USGS	445502123135101	1	53000206	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445502123204401	1	53000105	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	12-APR-1991 00:00:00
USGS	445503123081701	1	53000053	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445504121223701	2	ISLAND	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	16-DEC-1985 00:00:00
USGS	445505123090601	1	53000217	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445508122550101	1	47900405	RASA	Y	tiffany	01-APR-2002 18:26:08	tiffany	01-APR-2002 18:26:08
USGS	445509123161001	1	53000381	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	08-JAN-1992 00:00:00
USGS	445510123202201	1	53900088	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	16-JAN-1992 00:00:00
USGS	445511123102601	1	53000212	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445512123072301	1	53000006	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445513123134501	1	53000211	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445519123073001	1	53000079	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	29-MAY-1991 00:00:00
USGS	445521123165101	1	53000011	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445523122562801	1	47000304	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	13-SEP-1991 00:00:00
USGS	445525123084301	1	53000005	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445528122574501	1	47000303	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	13-SEP-1991 00:00:00
USGS	445528123134101	1	53000210	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445529123101101	1	53000095	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	12-APR-1991 00:00:00
USGS	445530123114401	1	53000094	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	12-APR-1991 00:00:00
USGS	445530123173201	1	53000247	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445532117564501	1	OWRD OBS 3	OR004	Y	tiffany	19-FEB-2003 21:47:52	tiffany	19-FEB-2003 21:47:52
USGS	445533123163001	1	53000248	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445534123160701	1	53000249	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445536123082901	1	53000099	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	12-APR-1991 00:00:00
USGS	445536123103301	1	53000213	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445537123082901	1	53000089	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	12-APR-1991 00:00:00
USGS	445538123081701	1	53000090	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	12-APR-1991 00:00:00
USGS	445539122585901	1	47900400	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-OCT-1991 00:00:00
USGS	445540123161001	1	53000243	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445541123103001	1	53000208	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445543122570801	1	47000299	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	13-SEP-1991 00:00:00
USGS	445543123104501	1	53000091	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	12-APR-1991 00:00:00
USGS	445544122541601	1	47000297	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	13-SEP-1991 00:00:00
USGS	445546122480201	1	OWRD OBS 658	OR004	Y	tiffany	19-FEB-2003 21:47:52	tiffany	19-FEB-2003 21:47:52
USGS	445546122480201	2	47900352	USGS	Y	tiffany	19-FEB-2003 21:47:53	tiffany	19-FEB-2003 21:47:53
USGS	445546123080601	1	53000384	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	08-JAN-1992 00:00:00
USGS	445546123090101	1	53000207	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445546123135501	1	53900052	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	16-JAN-1992 00:00:00
USGS	445548122544701	1	47000298	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	13-SEP-1991 00:00:00
USGS	445549122541701	1	47900391	RASA	Y	tiffany	01-APR-2002 17:33:01	tiffany	01-APR-2002 17:33:01
USGS	445550120435001	1	WELL #1	OWNER	L	tiffany	16-OCT-2012 20:42:37	tiffany	16-OCT-2012 20:42:37
USGS	445550123133601	1	53000092	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	12-APR-1991 00:00:00
USGS	445551123125301	1	53000004	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445552123140501	1	53000209	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445556123084101	1	53900081	RASA	Y	tiffany	01-APR-2002 20:41:43	tiffany	01-APR-2002 20:41:43
USGS	445556123171801	1	53000244	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445556123193601	1	53000245	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445601123134101	1	53000093	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	12-APR-1991 00:00:00
USGS	445605122533601	1	OWRD OBS 660	OR004	Y	tiffany	19-FEB-2003 21:47:53	tiffany	19-FEB-2003 21:47:53
USGS	445605122533601	2	47900390	USGS	Y	tiffany	19-FEB-2003 21:47:53	tiffany	19-FEB-2003 21:47:53
USGS	445606122554101	1	47000301	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	13-SEP-1991 00:00:00
USGS	445608122522501	1	47000295	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	13-SEP-1991 00:00:00
USGS	445616123141301	1	53000200	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445616123214401	1	53000306	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445617123015801	1	47900548	RASA	Y	tiffany	01-APR-2002 19:23:39	tiffany	01-APR-2002 19:23:39
USGS	445620117581501	1	OWRD OBS 2	OR004	Y	tiffany	19-FEB-2003 21:47:53	tiffany	19-FEB-2003 21:47:53
USGS	445624122530301	1	47000296	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	13-SEP-1991 00:00:00
USGS	445627123014701	1	OWRD OBS 666	OR004	Y	tiffany	19-FEB-2003 21:47:53	tiffany	19-FEB-2003 21:47:53
USGS	445627123014701	2	47900018	USGS	Y	tiffany	19-FEB-2003 21:47:53	tiffany	19-FEB-2003 21:47:53
USGS	445630123194401	1	53000240	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445630123221701	1	53000013	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445631123105101	1	53900083	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	16-JAN-1992 00:00:00
USGS	445633123082501	1	53000078	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	29-MAY-1991 00:00:00
USGS	445634123105201	1	53000003	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445635122533501	1	47000293	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	13-SEP-1991 00:00:00
USGS	445641122553401	1	47000292	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	13-SEP-1991 00:00:00
USGS	445641123025101	1	53000075	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	29-MAY-1991 00:00:00
USGS	445641123210601	1	53000239	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445642123210401	1	53000010	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445643123061301	1	53900017	RASA	Y	tiffany	01-APR-2002 19:23:37	tiffany	01-APR-2002 19:23:37
USGS	445646123221401	1	53000305	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445647122590001	1	47900383	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-OCT-1991 00:00:00
USGS	445650122555501	1	47900387	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-OCT-1991 00:00:00
USGS	445654122505101	1	47900349	RASA	Y	tiffany	01-APR-2002 16:23:49	tiffany	01-APR-2002 16:23:49
USGS	445657123205901	1	53000315	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445658123184101	1	53000104	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	12-APR-1991 00:00:00
USGS	445700123221301	1	53000112	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	12-APR-1991 00:00:00
USGS	445703123203101	1	53000268	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445704123051701	1	53900018	RASA	Y	tiffany	01-APR-2002 19:23:38	tiffany	01-APR-2002 19:23:38
USGS	445708122334201	1	47900412	RASA	Y	tiffany	27-MAR-2002 22:59:24	tiffany	27-MAR-2002 22:59:24
USGS	445709123172101	1	53000241	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445710122524701	1	47000294	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	13-SEP-1991 00:00:00
USGS	445712123164201	1	53000242	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445720123190201	1	53000302	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445721121243901	2	ISLAND 2	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	16-DEC-1985 00:00:00
USGS	445722123074601	1	53900048	RASA	Y	tiffany	01-APR-2002 20:41:42	tiffany	01-APR-2002 20:41:42
USGS	445722123181901	1	53000102	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	12-APR-1991 00:00:00
USGS	445724123062001	1	L41336	OR004	Y	tiffany	15-SEP-2005 22:52:38	tiffany	15-SEP-2005 22:52:38
USGS	445726123170001	1	53000235	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445726123181301	1	53000008	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445728123193801	1	53000237	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445728123223401	1	53000109	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	12-APR-1991 00:00:00
USGS	445728123224501	1	53000111	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	12-APR-1991 00:00:00
USGS	445733123043901	1	53900015	RASA	Y	tiffany	01-APR-2002 18:26:13	tiffany	01-APR-2002 18:26:13
USGS	445734123175301	1	53000236	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445735122524501	1	47900372	RASA	Y	tiffany	01-APR-2002 17:32:59	tiffany	01-APR-2002 17:32:59
USGS	445738123092701	1	53900022	RASA	Y	tiffany	01-APR-2002 20:41:43	tiffany	01-APR-2002 20:41:43
USGS	445739123230801	1	53000110	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	12-APR-1991 00:00:00
USGS	445740121233801	2	TEST WELL2	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	16-DEC-1985 00:00:00
USGS	445742121233901	2	WELL 2	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	16-DEC-1985 00:00:00
USGS	445742121234201	2	WELL 1	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	16-DEC-1985 00:00:00
USGS	445742122531201	1	47900375	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-OCT-1991 00:00:00
USGS	445748123060601	1	53900016	RASA	Y	tiffany	01-APR-2002 19:23:37	tiffany	01-APR-2002 19:23:37
USGS	445752123205901	1	53000238	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445753123142601	1	53000205	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445755123202501	1	53000103	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	12-APR-1991 00:00:00
USGS	445756123201301	1	53000009	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445757123055501	1	L33119	OR004	Y	tiffany	15-SEP-2005 22:12:01	tiffany	15-SEP-2005 22:12:01
USGS	445800123060601	1	L47540	OR004	Y	tiffany	15-SEP-2005 23:04:58	tiffany	15-SEP-2005 23:04:58
USGS	445800123062601	1	OWRD OBS 770	OR004	Y	tiffany	19-FEB-2003 21:47:53	tiffany	19-FEB-2003 21:47:53
USGS	445800123062601	2	53000074	USGS	Y	tiffany	19-FEB-2003 21:47:53	tiffany	19-FEB-2003 21:47:53
USGS	445801123062801	1	OWRD OBS 769	OR004	Y	tiffany	19-FEB-2003 21:47:53	tiffany	19-FEB-2003 21:47:53
USGS	445801123062801	2	53000073	USGS	Y	tiffany	19-FEB-2003 21:47:53	tiffany	19-FEB-2003 21:47:53
USGS	445802122555401	1	47900377	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-OCT-1991 00:00:00
USGS	445802123130801	1	53000002	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445803123164201	1	53000234	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445804123213601	1	53000012	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445806123054901	1	L33115	OR004	Y	tiffany	15-SEP-2005 22:23:10	tiffany	15-SEP-2005 22:23:10
USGS	445806123214401	1	53000304	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445807123214001	1	53000108	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	12-APR-1991 00:00:00
USGS	445810123091601	1	53000077	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	29-MAY-1991 00:00:00
USGS	445810123204401	1	53000301	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445811122553801	1	47900575	RASA	Y	tiffany	13-FEB-2002 17:48:02	tiffany	13-FEB-2002 17:48:02
USGS	445811122561301	1	47900576	RASA	Y	tiffany	01-APR-2002 17:33:00	tiffany	01-APR-2002 17:33:00
USGS	445814123005701	1	47900026	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	09-OCT-1992 00:00:00
USGS	445816122453101	1	47900345	RASA	Y	tiffany	29-MAR-2002 16:56:37	tiffany	29-MAR-2002 16:56:37
USGS	445816123011101	1	47000147	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	16-SEP-1991 00:00:00
USGS	445816123042901	1	53900013	RASA	Y	tiffany	01-APR-2002 18:26:12	tiffany	01-APR-2002 18:26:12
USGS	445819123190401	1	53000100	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	12-APR-1991 00:00:00
USGS	445820123115001	1	53000204	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445820123222101	1	53000303	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445821122563101	1	47900365	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-OCT-1991 00:00:00
USGS	445827123173301	1	53000232	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445829123171901	1	53000233	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445830120150001	1	STARR SPRING	OWNER	L	tiffany	16-OCT-2012 20:42:37	tiffany	16-OCT-2012 20:42:37
USGS	445831123011101	1	47000146	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	16-SEP-1991 00:00:00
USGS	445831123042201	1	53000071	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	29-MAY-1991 00:00:00
USGS	445834122533501	1	47900369	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-OCT-1991 00:00:00
USGS	445834123185201	1	53000101	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	12-APR-1991 00:00:00
USGS	445837123210001	1	53000300	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445840123131501	1	53000203	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445843123010501	1	47900016	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	09-OCT-1992 00:00:00
USGS	445843123184801	1	53000231	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445844123200101	1	53000230	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	10-APR-1991 00:00:00
USGS	445847122590601	1	47000143	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	13-SEP-1991 00:00:00
USGS	445848122580801	1	47000142	USGS	Y	nwis	04-NOV-1998 00:00:00	nwis	13-SEP-1991 00:00:00
