# RDB data retrieved from Oracle.
#
# $Log$
# tsql nwisor -rdb 'select * from gw_netw_01  order by site_no' |# 02/19/2019 21:01:27, llorzol
#
agency_cd	site_no	netw_seq_nu	netw_cd	netw_begin_dt	netw_end_dt	analyses_tp	netw_src_cd	anal_agency_cd	netw_freq_cd	netw_meth_cd	netw_1_cd	netw_2_cd	netw_web_cd	netw_cn	netw_cr	netw_mn	netw_md
5s	15s	9n	2s	4s	4s	2s	5s	5s	1s	1s	1s	1s	1s	8s	25d	8s	25d
USGS	434356121150803	2	WL	1993	1993		USGS		O				Y	nwis	04-NOV-1998 00:00:00	tiffany	23-APR-2009 20:37:04
USGS	434400121275801	1	WL	1945	1999		OR004		I		4		Y	nwis	04-NOV-1998 00:00:00	tiffany	12-DEC-2002 21:44:04
USGS	434400121275801	2	WL	1997	2016		USGS		I		1		Y	tiffany	28-MAR-2002 18:46:44	tiffany	14-FEB-2018 18:36:57
USGS	434400121275801	3	WL	1999	2016		USGS		C		1		Y	tiffany	28-MAR-2002 18:46:44	tiffany	02-NOV-2016 18:44:49
USGS	434400121275801	4	WL	1970	1972		USBR		I				Y	tiffany	13-DEC-2002 20:50:28	tiffany	13-DEC-2002 20:50:28
USGS	434400121291401	1	WL	2000	2001				B		3		C	tiffany	22-SEP-2000 14:31:02	tiffany	23-APR-2009 20:37:04
USGS	434426121322001	1	WL	1993	1997				Q				C	tiffany	22-SEP-2000 14:31:02	tiffany	27-APR-2009 17:36:29
USGS	434426121322001	2	WL	2000	2001				Q				Y	tiffany	27-APR-2009 17:36:29	tiffany	27-APR-2009 17:36:29
USGS	434427117041901	1	WL	1980	1980		USGS		O		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	434427117042001	1	WL	1980	1980		USGS		I		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	434428117050901	1	WL	1980	1980		USGS		I		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	434446118044201	1	WL	1945			OR004		Q				Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	434501121272401	1	WL	1994	1997				Q				C	tiffany	22-SEP-2000 14:31:02	tiffany	27-APR-2009 17:36:30
USGS	434501121272401	2	WL	2000	2001				B				Y	tiffany	27-APR-2009 17:36:30	tiffany	27-APR-2009 17:36:30
USGS	434516121295101	1	WL	2000	2001				B		3		C	tiffany	22-SEP-2000 14:31:02	tiffany	27-APR-2009 17:36:30
USGS	434534121323801	1	WL	2000	2001				B		3		C	tiffany	22-SEP-2000 14:31:02	tiffany	27-APR-2009 17:36:30
USGS	434622117035701	1	WL	1965			OR004		Z		4		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	434639121301501	1	WL	2000	2001				B		3		C	tiffany	22-SEP-2000 14:31:01	tiffany	27-APR-2009 17:36:30
USGS	434645120014801	1	WL	1963			OR004		Q		4		Y	nwis	04-NOV-1998 00:00:00	tiffany	16-JAN-2004 13:54:24
USGS	434657121274101	1	WL	2000	2002				B		3		C	tiffany	22-SEP-2000 14:31:01	tiffany	27-APR-2009 17:36:30
USGS	434700121264201	1	WL	2000	2000				B		3		C	tiffany	22-SEP-2000 14:31:01	tiffany	02-JAN-2001 17:17:28
USGS	434700121285701	1	WL	2000	2001				B		3		C	tiffany	22-SEP-2000 14:31:01	tiffany	27-APR-2009 17:36:30
USGS	434704117022201	1	WL	1980	1980		USGS		O		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	434704117022201	2	WL	1981	1981		USGS		O		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	434731121341001	1	WL	2000	2001				B		3		C	tiffany	22-SEP-2000 14:31:01	tiffany	27-APR-2009 17:36:31
USGS	434752121343101	1	WL	2000	2001				B		3		C	tiffany	22-SEP-2000 14:31:01	tiffany	27-APR-2009 17:36:31
USGS	434800120013701	1	WL	1964			OR004		Q				Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	434807117055701	1	WL	1962			OR004		Z		4		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	434810121305201	1	WL	2000	2001				B		3		C	tiffany	22-SEP-2000 14:31:01	tiffany	27-APR-2009 17:36:31
USGS	434811117055901	1	WL	1980	1980		USGS		O		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	434910121275501	1	WL	2000	2001				B		3		C	tiffany	22-SEP-2000 14:31:05	tiffany	27-APR-2009 17:36:31
USGS	434910121275502	1	WL	2000	2001				B		3		C	tiffany	22-SEP-2000 14:31:05	tiffany	27-APR-2009 17:36:31
USGS	434926117043001	1	WL	1980	1982		USGS		I		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	434945121273501	1	WL	2000	2001				B		3		C	tiffany	22-SEP-2000 14:31:05	tiffany	27-APR-2009 17:36:31
USGS	435007121272701	1	WL	2000	2001				B		3		C	tiffany	22-SEP-2000 14:31:05	tiffany	27-APR-2009 17:36:31
USGS	435007121272702	1	WL	2000	2001				B		3		C	tiffany	22-SEP-2000 14:31:05	tiffany	27-APR-2009 17:36:32
USGS	435024123053401	1	WL	1966	1978		OR004		Q		4		Y	nwis	04-NOV-1998 00:00:00	tiffany	13-SEP-2001 14:10:05
USGS	435024123053401	2	WL	1984			OR004		Q		4		Y	tiffany	04-JUN-2003 14:14:58	tiffany	04-JUN-2003 14:14:58
USGS	435024123053401	3	WL	1996	1999		OR004		C		3		Y	tiffany	04-JUN-2003 14:14:58	tiffany	04-JUN-2003 14:14:58
USGS	435026121272101	1	WL	2000	2001				B		3		C	tiffany	22-SEP-2000 14:31:05	tiffany	27-APR-2009 17:36:32
USGS	435030121271401	1	WL	2000	2001				B		3		C	tiffany	22-SEP-2000 14:31:05	tiffany	27-APR-2009 17:36:32
USGS	435030121271402	1	WL	2000	2001				B		3		C	tiffany	22-SEP-2000 14:31:05	tiffany	27-APR-2009 17:36:32
USGS	435035121270801	1	WL	2000	2002				B		3		C	tiffany	22-SEP-2000 14:31:04	tiffany	27-APR-2009 17:36:32
USGS	435035121270802	1	WL	2000	2002				B		3		C	tiffany	22-SEP-2000 14:31:04	tiffany	27-APR-2009 17:36:32
USGS	435040121271401	1	WL	1995	2001				M		3		C	tiffany	22-SEP-2000 14:31:01	tiffany	27-APR-2009 17:36:32
USGS	435104121282301	1	WL	2000	2001				B		3		C	tiffany	22-SEP-2000 14:31:01	tiffany	27-APR-2009 17:36:32
USGS	435159121282701	1	WL	1978	1980		USGS		M		3		Y	tiffany	09-OCT-2003 14:23:20	tiffany	09-OCT-2003 14:23:20
USGS	435159121282701	2	WL	1993					Q		3		Y	tiffany	09-OCT-2003 14:23:20	tiffany	14-MAY-2009 15:53:39
USGS	435237116593101	1	WL	1980	1980		USGS		O		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	435251121262801	1	WL	1967	1971		OR004		Q				Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	435252117324301	1	WL	1980	1980		USGS		O		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	435252117324401	1	WL	1963			OR004		Z		4		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	435307116592001	1	WL	1980	1980		USGS		O		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	435330117125101	1	WL	1980	1980		USGS		O		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	435359117253801	1	WL	1980	1980		USGS		O		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	435404116591101	1	WL	1980	1980		USGS		O		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	435432117044401	1	WL	1980	1980		USGS		O		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	435433121212101	1	WL	1977	1980				M				Y	tiffany	21-APR-2009 20:26:23	tiffany	21-APR-2009 20:26:23
USGS	435433121212101	2	WL	1993	1997				Q				Y	tiffany	21-APR-2009 20:26:24	tiffany	21-APR-2009 20:26:24
USGS	435437116591301	1	QW	1978	1978		USGS	USGS	O		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	435437116591301	2	WL	1978	1978		USGS		O		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	435437116591301	3	WL	1980	1980		USGS		O		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	435438117003601	1	WL	1980	1980		USGS		I		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	435439117022401	1	WL	1980	1980		USGS		I		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	435446117041301	1	WL	1980	1980		USGS		O		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	435513123013401	1	WL	1962			OR004		Q		4		Y	nwis	04-NOV-1998 00:00:00	tiffany	05-JUN-2003 13:54:34
USGS	435548121244901	1	WL	1994	1996				Q		3		C	tiffany	30-APR-2001 21:52:59	tiffany	27-APR-2009 17:36:33
USGS	435548121244901	2	WL	2001	2001				B				Y	tiffany	27-APR-2009 17:36:33	tiffany	27-APR-2009 17:36:33
USGS	435552117124701	1	WL	1980	1980		USGS		O		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	435553116593601	1	WL	1978	1978		USGS		O		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	435553116593601	2	WL	1980	1980		USGS		I		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	435555123515701	1	WL	1965			OR004		Q		4		Y	nwis	04-NOV-1998 00:00:00	tiffany	05-JUN-2003 13:54:34
USGS	435557117105801	1	WL	1978	1978		USGS		O		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	435557117105801	2	WL	1980	1980		USGS		O		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	435607117254301	1	WL	1980	1980		USGS		O		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	435608117254201	1	WL	1962			OR004		Z		4		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	435642117253201	1	WL	1962			OR004		Z		4		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	435645117150501	1	WL	1980	1980		USGS		O		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	435648117255701	1	WL	1962			OR004		Z		4		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	435648123255401	1	WL	1977			OR004		Q				Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	435651117053101	1	WL	1980	1980		USGS		I		3		Y	nwis	04-NOV-1998 00:00:00	nwis	16-DEC-1992 00:00:00
USGS	435651117053101	2	WD	1981	1981		USGS		O	M	3		Y	nwis	04-NOV-1998 00:00:00	nwis	16-DEC-1992 00:00:00
USGS	435658117263501	1	WL	1962			OR004		Z		4		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	435701117264501	1	WL	1980	1980		USGS		O		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	435710117144001	1	WL	1978	1978		USGS		O		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	435710117144001	2	WL	1980	1980		USGS		O		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	435715117003201	1	WL	1980	1980		USGS		O		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	435830121211201	1	WL	1977	1980				M				Y	tiffany	21-APR-2009 20:26:24	tiffany	21-APR-2009 20:26:24
USGS	435830121211201	2	WL	1993	1997				Q				Y	tiffany	21-APR-2009 20:26:24	tiffany	21-APR-2009 20:26:24
USGS	435832117103801	1	WL	1980	1980		USGS		O		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	435845117150201	1	WL	1980	1980		USGS		O		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	435854117031101	1	WL	1962			OR004				4		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	435858117030901	1	WL	1980	1980		USGS		O		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	435901117155501	1	WL	1980	1980		USGS		O		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	435904117082901	1	WL	1980	1980		USGS		O		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	435909117195101	1	WL	1980	1980		USGS		I		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	435918117004401	1	WL	1980	1980		USGS		O		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	435918121241101	1	WL	1979	1980				M				Y	tiffany	21-APR-2009 20:26:24	tiffany	21-APR-2009 20:26:24
USGS	435918121241101	2	WL	1993					Q				Y	tiffany	21-APR-2009 20:26:24	tiffany	21-APR-2009 20:26:24
USGS	435927117080501	1	WL	1980	1980		USGS		O		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	435937117132601	1	WL	1962			OR004		S		4		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	435945117132601	1	WL	1980	1980		USGS		O		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	435946117014901	1	WL	1980	1980		USGS		O		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	435948121225401	1	WL	1993	1996				Q				Y	tiffany	21-APR-2009 20:26:24	tiffany	21-APR-2009 20:26:24
USGS	440000124054001	1	WL	1980			USGS		M		2		Y	nwis	04-NOV-1998 00:00:00	nwis	16-DEC-1992 00:00:00
USGS	440019121112901	1	WL	1994	1997				Q				Y	tiffany	21-APR-2009 20:26:24	tiffany	21-APR-2009 20:26:24
USGS	440020121190801	1	WL	1994	1997				Q				Y	tiffany	21-APR-2009 20:26:25	tiffany	21-APR-2009 20:26:25
USGS	440026117221601	1	WL	1961			OR004		S		4		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	440036117001201	1	WL	1962	1962		USGS		O		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	440036117001201	2	WL	1980	1982		USGS		B		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	440036117001301	1	WL	1950			OR004		Q				Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	440042117120001	1	WL	1980	1980		USGS		O		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	440043118553501	1	WL	1966			OR004		Q				Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	440045117120401	1	WL	1980	1980		USGS		O		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	440052117423701	1	WL	1963			OR004		S		4		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	440058123254001	1	WL	1962	1988		OR004		Q		4		Y	nwis	04-NOV-1998 00:00:00	tiffany	11-JUN-2003 17:27:29
USGS	440107117054901	1	WL	1978	1978		USGS		O		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	440107117054901	2	WL	1980	1980		USGS		O		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	440117116560602	1	WL	1978	1978		USGS		O		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	440117116560602	2	WL	1980	1980		USGS		O		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	440118116571201	1	WL	1980	1980		USGS		I		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	440132116560801	1	WL	1980	1980		USGS		O		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	440144116562001	1	WL	1980	1980		USGS		O		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	440216121155901	1	WL	1994	1998				Q				Y	tiffany	21-APR-2009 20:26:25	tiffany	21-APR-2009 20:26:25
USGS	440216121192101	1	WL	1993	1997				Q				Y	tiffany	21-APR-2009 20:26:25	tiffany	21-APR-2009 20:26:25
USGS	440227121134601	1	WL	1994	1996		USGS		Q		3		Y	tiffany	06-AUG-2009 17:55:43	tiffany	06-AUG-2009 17:55:43
USGS	440304122573201	1	WL	1993			OR004		Q		4		Y	tiffany	14-FEB-2002 22:21:06	tiffany	14-FEB-2002 22:21:06
USGS	440310122572501	1	WL	1962	1992		OR004		Q		4		Y	nwis	04-NOV-1998 00:00:00	tiffany	05-JUN-2003 13:54:33
USGS	440313117010401	1	WL	1980	1980		USGS		I		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	440341122584001	1	WL	1996	1998		OR004		C		4		Y	tiffany	16-MAY-2003 15:10:53	tiffany	16-MAY-2003 15:10:53
USGS	440341122584002	1	WL	1996	1998		OR004		C		4		Y	tiffany	16-MAY-2003 15:10:53	tiffany	16-MAY-2003 15:10:53
USGS	440349117155201	1	WL	1980	1980		USGS		O		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	440350117155201	1	WL	1962			OR004		S		4		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	440354122495501	1	WL	1965			OR004		Q		4		Y	nwis	04-NOV-1998 00:00:00	tiffany	05-JUN-2003 13:54:33
USGS	440423121213601	1	WL	1978	1980				M				Y	tiffany	21-APR-2009 20:26:25	tiffany	21-APR-2009 20:26:25
USGS	440423121213601	2	WL	1993	1998				Q				Y	tiffany	21-APR-2009 20:26:25	tiffany	21-APR-2009 20:26:25
USGS	440440121210701	1	WL	1994	2003		USGS		Q		3		Y	tiffany	25-JUN-2003 18:09:35	tiffany	27-APR-2009 17:36:33
USGS	440518121014801	1	WL	1994	1997				Q				Y	tiffany	21-APR-2009 20:26:25	tiffany	21-APR-2009 20:26:25
USGS	440529121154101	1	WL	1978	1980		USGS		M		4		Y	nwis	04-NOV-1998 00:00:00	tiffany	27-APR-2009 17:36:33
USGS	440529121154101	2	WL	1993	1997				Q				Y	tiffany	27-APR-2009 17:36:33	tiffany	27-APR-2009 17:36:33
USGS	440534123142601	1	WL	1962			OR004		Q		4		Y	nwis	04-NOV-1998 00:00:00	tiffany	05-JUN-2003 13:54:34
USGS	440609118563001	1	WL	1966			OR004		Q				Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	440615117172401	1	WL	1980	1980		USGS		O		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	440616117171701	1	WL	1962			OR004		S		4		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	440616123100701	1	WL	1996	1998		USGS		B		3		Y	tiffany	04-JUN-2003 14:14:42	tiffany	05-JUN-2003 13:54:33
USGS	440623117012401	1	WL	1980	1980		USGS		O		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	440633119070801	1	WL	1966			OR004		Q				Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	440640121231001	1	WL	1994	1997				Q				Y	tiffany	21-APR-2009 20:26:25	tiffany	21-APR-2009 20:26:25
USGS	440642116561101	1	WL	1980	1980		USGS		O		3		Y	nwis	04-NOV-1998 00:00:00	nwis	08-OCT-1985 00:00:00
USGS	440715121183701	1	WL	1978	1980				M				Y	tiffany	21-APR-2009 20:26:26	tiffany	21-APR-2009 20:26:26
USGS	440715121183701	2	WL	1993	1996				Q				Y	tiffany	21-APR-2009 20:26:26	tiffany	21-APR-2009 20:26:26
USGS	440735123154601	1	WL	1996	1998		USGS		B		3		Y	tiffany	19-FEB-2002 22:21:04	tiffany	04-JUN-2003 14:14:42
USGS	440736123154701	1	WL	1996	1998		USGS		B		3		Y	tiffany	19-FEB-2002 22:21:03	tiffany	05-JUN-2003 13:54:33
USGS	440803123042601	1	WL	1928	1930		USGS		W		3		Y	tiffany	04-JUN-2003 14:14:57	tiffany	04-JUN-2003 14:14:57
USGS	440803123042601	2	WL	1935	1936		USGS		W		3		Y	tiffany	04-JUN-2003 14:14:57	tiffany	04-JUN-2003 14:14:57
